Elevetion	Water_body	Bulinus	Biom	BulBio	PH	T0C	E.C.µs.cm	TDS.mg.l	D.O.mg.l	SO4	Cl	NO2	NO3	NH4	PO4	TN	TP	TH	CaH	Ca	Mg	Na	K	Pb	Cd	Mn	Fe	Zn
1352	1	1	1	1	6.43	26.5	354	163.1	12.76	123	35.21	0.11	1.91	1.14	1.59	3.17	2.11	109.36	62.8	25.12	11.34	54	6.38	0.12	0	0.49	6.78	0.63
1353	1	0	0	0	6.34	32	1259	542	6.95	304.75	196.94	0	0.71	0.08	1.67	0.78	2.23	371.72	178.32	71.33	47.11	84.33	7.64	0.13	0	0.3	1.12	0.84
1384	1	1	1	1	5.06	19.7	412	223	3.55	5.25	13.28	0.03	1.34	0.09	0.78	1.45	1.03	182.08	65.36	26.14	28.43	53.33	3.93	0.2	0	2.81	1.72	0.84
1387	1	1	1	1	4.92	21.6	269	142.4	2.49	4.75	27.57	0.3	7.41	0.07	4.45	7.77	5.93	92.12	48.36	19.34	10.66	45.67	9.76	0.16	0	0.27	4.39	0.84
1340	1	1	0	0	4.92	26.8	327	148.7	9.47	96.25	28.35	0	10.83	5.55	0.47	16.38	0.62	94.4	43	17.2	12.52	42	5.33	0.16	0	0.83	1.28	0.74
1348	1	1	0	0	4.93	25.4	239	116.3	3.59	127.25	19.65	0.06	6.49	0.16	0.6	6.72	0.8	89.24	47.96	19.18	10.06	35.67	3.17	0.17	0	0.67	1.32	0.75
1451	1	1	1	1	6.52	20.8	626	343	1.43	107.75	184.32	0.03	1.06	0.26	0.1	1.34	0.14	178.68	91.68	36.67	21.19	69.67	1.79	0.3	0	1.29	8.41	0.95
1454	1	0	1	0	6.54	21	533	278	7.93	86.5	148.43	0	0.23	0.19	0.97	0.42	1.29	153.08	74.84	29.94	19.06	65	1.95	0.16	0	0.86	12.65	0.94
1452	1	1	1	1	6.49	25	550	291	6.17	113.5	167.59	0.01	1.63	0.16	1.76	1.79	2.34	193.48	105.44	42.18	21.45	69	1.72	0.17	0	1.25	8.83	0
1449	1	1	1	1	6.55	23	577	296	6.55	97.5	154.19	0.01	0.64	0.05	1.79	0.7	2.39	173.32	85.8	34.32	21.32	67	2.64	0.17	0	3.23	14.76	0.58
1456	1	1	1	1	6.58	21	192.4	97	5.65	10.25	22.65	0	0.53	0.1	0.53	0.63	0.71	81.6	46.2	18.48	8.62	38.33	2.69	0.12	0	0.74	6.72	1.23
1451	1	1	1	1	6.57	23	508	258	4.37	152.25	52.52	0	1.84	0.15	1.69	1.99	2.25	210.16	121.96	48.78	21.49	48	11.71	0.18	0	1.93	7.54	0.93
1332	1	1	1	1	6.51	23.5	59.2	28.9	2.17	5.75	13.78	0	2.92	0.27	1.33	3.19	1.77	51.32	38.32	15.33	3.17	31	3.88	0.21	0	0.56	5.35	0.83
1328	2	0	0	0	6.38	27	346	159.1	7.15	6.75	59.52	0.04	2.2	0.18	0.59	2.42	0.78	132.12	43.76	17.5	21.52	53	4.93	0.16	0	0.55	2.72	0.76
1326	2	0	0	0	6.61	28	339	157.6	6.74	4	58.64	0.02	1.98	0.47	2.12	2.46	2.83	103.36	64.92	25.97	9.36	53.67	4.76	0.27	0	0.54	3.53	1.16
1439	2	1	1	1	4.82	23.7	529	258	7.65	3.75	109.51	0.04	0.85	0.03	0.48	0.92	0.64	151	80.42	32.17	17.19	63.67	4.28	0.28	0	0.06	2.06	0.78
1445	2	1	1	1	4.83	24.5	520	259	2.33	5	98.01	0.02	0.29	0.5	0.03	0.81	0.05	156.2	61.84	24.74	22.99	60.67	4.33	0.16	0	0.06	1.56	0.54
1443	2	0	0	0	4.76	22.1	505	254	6.68	4	96.45	0.03	0.63	0.07	0.03	0.73	0.05	162.84	86.64	34.66	18.56	60.33	4.24	0.17	0	0.1	1.52	0.56
1466	2	0	0	0	4.76	21.2	505	255	4.77	4.25	99.81	0.03	1.22	0.09	0.19	1.35	0.25	156.84	67.32	26.93	21.81	59.67	4.5	0.13	0	0.17	4.23	0.55
1329	2	0	0	0	4.63	24.4	216.7	105.3	8.25	9.25	16.65	0.15	1.8	4.02	0.52	5.97	0.69	87.16	22.72	9.09	15.7	39.67	6.53	0.14	0	0.36	5.83	0.9
1324	2	0	0	0	4.69	26.6	225	104.8	7.42	14.5	18.67	0.12	1.08	3.92	0.29	5.11	0.39	78.76	37.24	14.9	10.11	41.33	6.64	0.24	0	0.33	5.02	0.79
1347	2	1	1	1	4.69	26.5	656	311	8.48	11	88.11	0.12	1.1	5.99	1.02	7.21	1.36	170.76	47.68	19.07	29.98	76.67	15.02	0.28	0	0.15	3.98	0.7
1347	2	1	1	1	4.71	26.8	659	314	8.15	8.75	81.43	0	1.35	4.77	1.31	6.13	1.75	143.88	41.68	16.67	24.9	73.67	14.59	0.15	0	0.07	2.82	0.63
1419	1	1	1	1	5.2	21	179.4	291.4	7.63	48.75	18.73	0.12	1.27	0.3	0.1	1.69	0.14	74.04	32.68	13.07	10.08	38.67	1.1	0.16	0	0.11	6.25	0.59
1430	1	0	0	0	4.59	25.5	670	324	3.45	135.25	90.97	0.24	0.85	4.14	0.36	5.23	0.48	178.52	103.84	41.54	18.19	71	3.03	0.03	0	0.72	11.86	1.46
1568	1	1	0	0	4.58	28.8	173.1	282	6.28	52.5	13.68	0.12	0.53	0.79	0.07	1.44	0.09	68.4	32.44	12.98	8.76	39.33	1.69	0.07	0	0.46	9.67	0.69
1571	1	1	1	1	4.59	30.2	602	256	7.09	135.75	57.88	0.17	0.23	0.68	0.64	1.08	0.85	183.92	95.92	38.37	21.44	56	1.34	0.31	0	1.1	7.61	0.66
1419	1	1	1	1	6.95	20.5	279	147.3	3.22	94	27.59	0.19	2.1	0.3	0.48	2.6	0.64	110.56	48.36	19.34	15.15	44.67	5.84	0.16	0	0.35	6.74	0.73
1430	1	1	0	0	6.85	22.8	185.5	91.8	6.53	36	18.93	0.14	0.57	0.35	0.19	1.06	0.25	62.36	37.04	14.82	6.17	45.67	0.52	0.13	0	0.57	5.81	0.71
1568	1	0	0	0	6.56	27.1	89.6	39.5	0.16	41.5	6.56	0.12	1.44	0.36	0.57	1.91	0.76	44.28	21.24	8.5	5.61	30.33	1.47	0.33	0	0.54	12.52	0.58
1571	1	0	0	0	7.03	23.5	77	35.8	0.42	35.5	4.92	0.09	1.65	0.39	0.36	2.13	0.48	43.28	32.88	13.15	2.53	32.33	1.28	0.23	0	0.26	8.43	0.54
1359	1	1	0	0	7.14	20.2	584	310	3.5	105.75	110.85	0.11	3.64	0.33	0.21	4.09	0.28	227.8	160	64	16.52	63	5.66	0.07	0	0.28	3.97	0.73
1356	1	0	0	0	6.9	21.1	727	385	4.3	230.25	82.27	0.3	0.77	1.98	0.53	3.05	0.71	318.2	178.6	71.44	34.01	57.33	6.26	0.27	0	2.57	4.62	0.64
1396	1	1	1	1	6.8	19.5	285	151.3	5.23	119.75	99.81	1.39	1.56	1.34	0.21	4.29	0.28	195.24	129.96	51.98	15.9	70.33	4.64	0.14	0	2.52	11.7	0.73
1447	2	1	0	0	7.61	24.2	476	223	4.49	15.75	83.37	0.13	0.21	1.84	0.1	2.18	0.14	145.88	90.52	36.21	13.49	57.67	4.52	0.09	0	0.61	3.59	0.5
1444	2	1	0	0	7.86	24.7	479	229	5.03	7	90.53	0.02	0.17	1.31	0.09	1.5	0.11	127.92	81.44	32.58	11.32	57.33	39.09	0.17	0	0.25	2.32	0.31
1445	1	1	1	1	7.41	25.6	474	220	2.08	4	82.13	0.07	0.07	0.42	0.33	0.55	0.44	132.6	96.04	38.42	8.91	56.33	4.05	0.07	0	0.15	3.97	0.36
1449	2	0	0	0	7.01	25.7	486	225	4.63	14.25	87.35	0	0.12	1.38	0.07	1.5	0.09	150.32	78.16	31.26	17.58	57	4.52	0.24	0	0.17	2.37	0.31
1441	1	1	0	0	6.9	21.7	463	230	0.16	37	24.29	0.09	1.36	5.58	1.03	7.03	1.38	49.76	33.12	13.25	4.05	41	5.28	0.05	0	0.42	19.62	0.36
1452	1	0	0	0	6.26	22.3	125.6	61.6	1.26	11.25	16.63	0.23	0.02	1.04	0.09	1.29	0.11	54.24	42.4	16.96	2.88	31.67	0.41	0.05	0	1.41	16.01	0.55
1770	2	0	0	0	7.41	22.1	243	123.4	5.71	7.75	8.62	0.57	0.1	4.33	0.14	5	0.18	86.36	34.52	13.81	12.63	41.33	19.45	0.3	0	0.14	2.65	0.62
1764	2	1	0	0	7.36	23.4	240	122.7	5.83	9.5	11.46	0.09	1.01	0.08	0.09	1.17	0.11	82.8	37.04	14.82	11.15	40.67	19.28	0.33	0	0.1	2.66	0.47
1740	2	1	0	0	6.76	18.9	48.3	25.5	6.22	4.5	2.62	0	0.89	2.3	1.28	3.2	1.7	32.2	16.42	6.57	3.84	26.33	0.36	0.12	0	0.81	11.55	0.45
